State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male workers,Female workers,Main workers,Marginal workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Lpg cylindar,Electricty,Internet,Computer,Rural Households,Urbal Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduates,Literates,Illiterates,Total Educated,Age 0 to 30,Age 30 to 50,Age above 50,Cars,Radios,Motorcycles,Mobiles,All Gadgets,Television,Landlines,Both Phone and Landline,Latrine facilities,Owned,Rented,Fuel,No Latrine Facilities,wells,Handpump Tubewell Borewell,Spring water,Canal,Other Sources of Water,Drinking Water Near Household,Drinking Water Within Household,Watertank Pond Lakes,Tapwater,DrinkingWater Source Far From Home,1 couple,2 couple,3 couple,3 or more couple,1 member,2 members,1-2 members,3 members,3-5 members,4 members,5 members,6-8 members,9 members,Total_minority,Male Minority,Female Minority,Secondary - Higher
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1066460,257207,2399901,275970,15422,1377,25510,617,322,194954,566108,5512,45202,597466,220248,817714,232470,344167,281752,225957,143143,100226,1346992,1030640,2377632,1536378,704551,422522,8338,25190,96998,374630,9483,306433,403530,13417,191052,559211,77594,1009,446014,93294,267233,2294,3303,7390,212025,229686,1521,270862,210059,503266,58377,6455,7297,27018,80780,107798,103066,417387,182282,132039,114585,12000,984390,490316,494074,82814
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,3599372,443456,20463,932,341,1417,309,223016,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,2426929,1369069,3795998,2189396,1104565,739612,9915,63528,144214,534408,14470,559461,581087,22640,353948,779195,172680,824,581051,5049,117001,552,469,16086,528245,225275,201,819675,207645,718794,115052,15584,17947,36633,106460,143093,156107,644263,291388,196768,153243,20566,737262,370952,366310,169618
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,3737588,397870,24129,867,253,1322,358,324406,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,3062955,1170993,4233948,2148179,1159053,807430,16296,93489,186568,561188,24934,611465,632803,36237,382377,815953,196720,640,628364,8192,135531,349,548,38931,539408,342011,494,835606,140697,757090,105579,10901,12183,55151,132169,187320,175853,678054,311451,190750,142837,13905,944925,469338,475587,283137
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,4983330,77777,77825,738,413,4149,403,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,3518619,1524603,5043222,2724328,1478954,948122,25381,113126,232073,614288,34494,821421,732492,52789,800168,1088823,278383,1622,510602,121195,342767,4440,6523,11217,558347,613789,5684,908806,235274,1085890,85895,6477,7007,95856,239150,335006,275218,952492,468704,208570,112434,7478,1158464,573305,585159,249753
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,4217597,559770,89763,764,323,3282,332,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,3209266,1474349,4683615,2583462,1371811,928462,17424,106907,190079,617321,28457,816849,733133,53583,762845,981115,276073,1292,513287,67710,428749,1299,4238,35872,465404,554667,5833,739450,267760,972992,117838,10388,11313,83026,212589,295615,229537,842985,413160,200288,139120,10111,1204496,601438,603058,206866
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,1096081,317216,2046051,1713405,87522,11446,1268,19560,1929,581509,869721,149034,274653,0,1066289,1066289,230962,596591,685215,811501,517425,558090,3445721,556902,4002623,2249130,1068243,542669,124106,288188,439890,583744,200317,746818,799174,123728,868186,437146,422826,1908,7927,913,8759,621,84,6777,47880,814362,1196,862054,19270,692697,73154,16242,20914,20495,90415,110910,135609,546260,236179,174472,181806,42536,296864,149869,146995,294076
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1590304,286464,3491139,244723,24979,2086,332,312,115,344667,926768,8831,46584,877236,288044,1165280,340372,453505,482842,463403,293493,256633,2325560,1280393,3605953,1940234,1031735,728494,14175,37212,192965,648422,16190,589283,691495,17534,452865,823820,141432,921,518458,133499,135427,1037,305,23433,197387,633350,299,681510,150002,746836,91081,8368,9357,55169,146503,201672,166249,649211,306232,176730,120450,9406,816502,405976,410526,169910
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1215871,194191,2595321,158887,33463,655,217,459,539,219710,668519,8628,42171,669262,201363,870625,295639,346118,329630,238811,154774,160804,1551232,875272,2426504,1530602,774583,477955,11887,35761,115078,389453,15140,416734,427722,18744,360531,616617,115379,707,379678,46922,210458,1327,4467,9819,240615,354579,889,468045,152392,575647,55189,4220,4616,39441,120442,159883,144836,512966,254089,114041,69643,5094,1228461,608437,620024,84037
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,4023678,307043,145598,1393,863,6320,906,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,3169428,1352499,4521927,2340943,1284630,833959,27969,112568,212111,598166,43264,794346,743696,69493,863417,863382,328243,1359,351479,87080,205072,1490,1097,17143,387804,611878,6592,903992,227575,955030,81787,6370,6886,81004,218150,299154,235751,824868,417156,171961,95350,7885,1003527,502146,501381,219068
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,3328380,670737,33165,737,255,2235,434,195001,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,2220285,1517933,3738218,2368684,1053618,609027,10622,79714,118153,519103,15373,543044,572406,22698,353289,710444,156505,820,437495,17204,138946,5694,6352,5342,431425,227045,3297,696977,218712,652567,109416,18819,22549,29425,86663,116088,120568,547505,238908,188029,181675,31914,820776,412267,408509,119375
